Jaar;Waarneming;Prognose;Prognose-interval 95%;Prognose-interval 67%
1982;14,29;;;
1983;14,34;;;
1984;14,39;;;
1985;14,45;;;
1986;14,53;;;
1987;14,62;;;
1988;14,71;;;
1989;14,81;;;
1990;14,89;;;
1991;15,01;;;
1992;15,13;;;
1993;15,24;;;
1994;15,34;;;
1995;15,42;;;
1996;15,49;;;
1997;15,57;;;
1998;15,65;;;
1999;15,76;;;
2000;15,86;;;
2001;15,99;;;
2002;16,11;;;
2003;16,19;;;
2004;16,26;;;
2005;16,31;;;
2006;16,33;;;
2007;16,36;;;
2008;16,41;;;
2009;16,49;;;
2010;16,57;;;
2011;16,66;;;
2012;16,73;;;
2013;16,78;;;
2014;16,83;;;
2015;16,90;;;
2016;16,98;;;
2017;17,08;;;
2018;17,18;;;
2019;17,28;;;
2020;17,41;;;
2021;17,48;;;
2022;17,59;;;
2023;;17,82;17,76 - 17,89;17,79 - 17,85
2024;;18,00;17,88 - 18,14;17,94 - 18,07
2025;;18,13;17,94 - 18,33;18,04 - 18,23
2026;;18,24;17,99 - 18,50;18,11 - 18,38
2027;;18,33;18,03 - 18,65;18,17 - 18,49
2028;;18,42;18,05 - 18,80;18,22 - 18,61
2029;;18,51;18,07 - 18,95;18,28 - 18,73
2030;;18,59;18,10 - 19,12;18,34 - 18,86
2031;;18,68;18,11 - 19,29;18,39 - 18,98
2032;;18,76;18,13 - 19,48;18,45 - 19,10
2033;;18,85;18,16 - 19,65;18,49 - 19,22
2034;;18,93;18,18 - 19,79;18,55 - 19,32
2035;;19,01;18,17 - 19,93;18,59 - 19,42
2036;;19,08;18,19 - 20,08;18,63 - 19,53
2037;;19,15;18,20 - 20,25;18,67 - 19,65
2038;;19,22;18,18 - 20,36;18,70 - 19,75
2039;;19,29;18,17 - 20,49;18,73 - 19,87
2040;;19,35;18,19 - 20,63;18,75 - 19,98
2041;;19,40;18,19 - 20,79;18,77 - 20,06
2042;;19,46;18,17 - 20,91;18,78 - 20,13
2043;;19,51;18,14 - 21,05;18,79 - 20,21
2044;;19,55;18,11 - 21,19;18,80 - 20,31
2045;;19,60;18,11 - 21,32;18,81 - 20,40
2046;;19,64;18,10 - 21,43;18,81 - 20,46
2047;;19,68;18,09 - 21,56;18,82 - 20,54
2048;;19,72;18,07 - 21,66;18,80 - 20,61
2049;;19,75;18,02 - 21,76;18,80 - 20,67
2050;;19,79;18,00 - 21,88;18,77 - 20,75
2051;;19,82;17,98 - 21,99;18,76 - 20,83
2052;;19,86;17,96 - 22,06;18,75 - 20,89
2053;;19,89;17,92 - 22,15;18,76 - 20,95
2054;;19,92;17,84 - 22,19;18,76 - 21,01
2055;;19,95;17,77 - 22,24;18,75 - 21,09
2056;;19,99;17,71 - 22,39;18,74 - 21,16
2057;;20,03;17,67 - 22,51;18,75 - 21,27
2058;;20,06;17,68 - 22,62;18,75 - 21,36
2059;;20,10;17,67 - 22,72;18,77 - 21,43
2060;;20,15;17,66 - 22,81;18,79 - 21,50
2061;;20,20;17,62 - 22,89;18,80 - 21,57
2062;;20,25;17,60 - 23,01;18,79 - 21,64
2063;;20,30;17,58 - 23,20;18,83 - 21,74
2064;;20,36;17,59 - 23,33;18,84 - 21,81
2065;;20,42;17,56 - 23,45;18,85 - 21,90
2066;;20,48;17,52 - 23,60;18,87 - 21,98
2067;;20,54;17,53 - 23,76;18,91 - 22,04
2068;;20,61;17,48 - 23,91;18,93 - 22,15
2069;;20,68;17,50 - 24,04;18,96 - 22,27
2070;;20,75;17,50 - 24,20;19,02 - 22,37
