"Centrale/decentrale productie";"Energiedragers";"Perioden";"MWh";"TJ";"%"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"1998";"83223769";"299606";"90,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"1999";"78689095";"283281";"89,8"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2000";"80780211";"290809";"89,6"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2001";"84366666";"303720";"89,7"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2002";"84806891";"305305";"89,2"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2003";"87285111";"314226";"88,9"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2004";"90042583";"324153";"88,2"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2005";"86496538";"311388";"85,8"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2006";"84512744";"304246";"85,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2007";"90737325";"326654";"86,3"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2008";"91949006";"331016";"85,0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2009";"95620278";"344233";"84,2"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2010";"99815556";"359336";"84,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2011";"93237657";"335657";"82,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2012";"82565731";"297237";"80,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2013";"82699007";"297716";"82,0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2014";"84292092";"303452";"81,5"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2015";"89323501";"321565";"81,0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2016";"93245868";"335685";"81,0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2017";"92984380";"334744";"79,3"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2018";"89095826";"320745";"78,0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2019";"92141825";"331711";"75,9"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2020";"83975961";"302313";"68,1"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2021 **";"75321270";"271157";"61,7"
"Totaal centrale/decentrale productie";"Aardgas";"1998";"52126126";"187654";"56,7"
"Totaal centrale/decentrale productie";"Aardgas";"1999";"52581516";"189293";"60,0"
"Totaal centrale/decentrale productie";"Aardgas";"2000";"52492704";"188974";"58,2"
