Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2017,YR2017,2873457,31.3,0.9,3.952,0.425
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2018,YR2018,2866376,22.8,0.7,4.051,..
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2019,YR2019,2854191,14.9,0.4,4.117,..
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2020,YR2020,2837849,15.2,0.4,4.197,..
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2017,YR2017,41136546,32.7,13.5,3.763,0.605
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2018,YR2018,41927007,31.5,13.2,3.822,..
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2019,YR2019,42705368,29.5,12.4,3.796,..
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2020,YR2020,43451666,27.9,11.7,3.76,..
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2017,YR2017,30208628,81.2,24.5,4.327,0.972
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2018,YR2018,31273533,82.7,25.9,4.293,..
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2019,YR2019,32353588,83.8,26.2,4.352,..
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2020,YR2020,33428486,84.7,26.5,4.534,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2017,YR2017,..,..,..,3.717,0.577
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2017,YR2017,91119,..,..,4.112,0.767
