"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-04-20","","","","","","","","",""
"Ranking as of 1st March 2023","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","9","34.6"
"2","Cuba","03.2018","586","313","53.4","-","-","-","-"
"3","Nicaragua","11.2021","91","47","51.7","-","-","-","-"
"4","Mexico","06.2021","500","250","50","07.2018","127","64","50.4"
"“","New Zealand","10.2020","120","60","50","-","-","-","-"
"“","United Arab Emirates","10.2019","40","20","50","-","-","-","-"
"7","Iceland","09.2021","63","30","47.6","-","-","-","-"
"8","Costa Rica","02.2022","57","27","47.4","-","-","-","-"
"9","Andorra","04.2019","28","13","46.4","-","-","-","-"
"“","South Africa","05.2019","399","185","46.4","05.2019","54","24","44.4"
"“","Sweden","09.2022","349","162","46.4","-","-","-","-"
"12","Bolivia (Plurinational State of)","10.2020","130","60","46.2","10.2020","36","20","55.6"
"“","Norway","09.2021","169","78","46.2","-","-","-","-"
"14","Senegal","07.2022","165","76","46.1","-","-","-","-"
"15","Monaco","02.2023","24","11","45.8","-","-","-","-"
"16","Finland","04.2019","200","91","45.5","-","-","-","-"
"17","Argentina","11.2021","257","115","44.8","11.2021","72","31","43.1"
"18","Namibia","11.2019","104","46","44.2","12.2020","42","6","14.3"
"19","Denmark","11.2022","179","78","43.6","-","-","-","-"
"20","Mozambique","10.2019","250","108","43.2","-","-","-","-"
"21","Belgium","05.2019","150","64","42.7","07.2019","60","27","45"
"22","North Macedonia","07.2020","120","51","42.5","-","-","-","-"
"23","Spain","11.2019","349","148","42.4","11.2019","265","104","39.3"
"24","Cabo Verde","04.2021","72","30","41.7","-","-","-","-"
"“","Switzerland","10.2019","199","83","41.7","10.2019","45","13","28.9"
"26","Ethiopia","06.2021","472","195","41.3","10.2021","144","44","30.6"
"27","Netherlands","03.2021","150","61","40.7","05.2019","75","24","32"
"28","Austria","09.2019","183","74","40.4","-","61","25","41"
"29","Belarus","11.2019","110","44","40","11.2019","60","15","25"
"“","Timor-Leste","05.2018","65","26","40","-","-","-","-"
"31","Peru","04.2021","129","50","38.8","-","-","-","-"
"32","Ecuador","02.2021","137","53","38.7","-","-","-","-"
"33","Republic of Moldova","07.2021","101","39","38.6","-","-","-","-"
