Entity,Code,Year,Children with blood lead >5 µg/dL
Bangladesh,BGD,2019,28546129
Benin,BEN,2019,2397101
Brazil,BRA,2019,13655022
Cameroon,CMR,2019,6574477
China,CHN,2019,105535665
Colombia,COL,2019,0
Democratic Republic of Congo,COD,2019,21872694
Ecuador,ECU,2019,1467093
Egypt,EGY,2019,18738259
Ethiopia,ETH,2019,7351289
Haiti,HTI,2019,2109151
India,IND,2019,192734783
Indonesia,IDN,2019,36604831
Iran,IRN,2019,7734728
Iraq,IRQ,2019,8001759
Jamaica,JAM,2019,214699
Kosovo,OWID_KOS,2019,0
Mexico,MEX,2019,13932644
Mongolia,MNG,2019,320587
Morocco,MAR,2019,4383200
Nepal,NPL,2019,5425152
Nigeria,NGA,2019,47898934
Pakistan,PAK,2019,46678635
Palestine,PSE,2019,1128370
Romania,ROU,2019,753121
Russia,RUS,2019,11532142
Senegal,SEN,2019,4402364
Serbia,SRB,2019,895993
South Africa,ZAF,2019,7778383
Tanzania,TZA,2019,0
Thailand,THA,2019,6075112
Total,,2019,632719797
Turkey,TUR,2019,6302619
Uganda,UGA,2019,10906029
Vietnam,VNM,2019,10768832
