,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Gee,Girls' Generation,0.749,0.923,1,-1.014,0,0.0277,0.292,0.727,99.975,202200,4
1,Heartbreaker,G-DRAGON,0.775,0.792,0,-3.746,0,0.0613,0.0995,0.45,134.959,202547,4
2,Ring Ding Dong,SHINee,0.835,0.934,1,-1.258,1,0.0431,0.125,0.811,124.98,233280,4
3,Fire,2NE1,0.866,0.738,11,-3.493,0,0.0814,0.00615,0.683,126.013,222840,4
4,Sunset Glow,BIGBANG,0.756,0.87,8,-2.27,1,0.0543,0.0896,0.618,124.983,204920,4
5,Abracadabra,Brown Eyed Girls,0.803,0.973,5,-2.343,1,0.0953,0.0224,0.794,128.022,182308,4
6,"쏘리 쏘리 Sorry, Sorry",SUPER JUNIOR,0.706,0.972,11,-2.359,0,0.0352,0.0226,0.962,129.946,232333,4
7,Heartbeat-Japanese ver.-,2PM,0.733,0.809,1,-5.765,1,0.214,0.0219,0.558,134.94,193560,4
8,"헤어지지 못하는 여자, 떠나가지 못하는 남자 Can't Breakup Girl, Can't Breakaway Boy (feat. 정인 Jung In)","Leessang, Jung In",0.523,0.841,10,-2.505,0,0.331,0.15,0.383,173.903,284627,4
9,True Romance (Feat. T),Drunken Tiger,0.716,0.831,9,-5.349,0,0.254,0.312,0.767,104.921,205845,4
10,Guilty,Dynamicduo,0.755,0.665,1,-5.643,1,0.335,0.133,0.961,90.041,224893,4
11,내 머리가 나빠서,SS501,0.743,0.66,11,-5.223,0,0.0341,0.251,0.572,112.967,263040,4
12,After Love,Park Hyo Shin,0.329,0.597,2,-4.781,1,0.0378,0.707,0.25,145.466,230200,5
13,친구의 고백,2AM,0.672,0.396,7,-8.521,1,0.0329,0.31,0.301,88.001,256158,4
14,Rain and You,Rumble Fish,0.562,0.315,0,-7.929,1,0.0304,0.855,0.131,70.978,247973,4
15,I miss your love so much,Zia,0.408,0.754,9,-4.487,1,0.0796,0.524,0.484,190.07,240380,4
16,Nothing Better,BROWN EYED SOUL,0.547,0.106,10,-14.856,1,0.0387,0.969,0.288,95.572,263533,4
17,Not Even A Call,Wax,0.569,0.726,11,-4.021,1,0.0452,0.439,0.527,90.065,231067,4
18,구속,Fly to the Sky,0.331,0.742,7,-3.246,1,0.0638,0.472,0.204,181.809,246427,3
19,2008 One Two - 못된 여자,One Two,0.594,0.51,9,-5.914,1,0.0588,0.111,0.686,208.064,221051,4
20,8282,DAVICHI,0.561,0.675,2,-5.6,1,0.0783,0.0806,0.277,143.037,219160,3
21,LA chA TA,f(x),0.828,0.898,0,-2.429,1,0.042,0.0633,0.914,113.948,194040,4
22,Bo Peep Bo Peep,T-ARA,0.824,0.95,5,-4.163,0,0.0308,0.00974,0.97,128.031,225040,4
23,Mr.,KARA,0.781,0.991,4,-1.502,0,0.069,0.0589,0.805,126.063,193613,4
24,Am I too easy?,U-KISS,0.758,0.893,7,-3.914,1,0.0511,0.0298,0.657,126.02,211517,4
25,Love.. All it was lie - 2014 live Version,Lyn,0.751,0.257,5,-14.677,0,0.0903,0.936,0.215,117.966,271344,4
26,사랑해 : Originally Performed By SG워너비 Karaoke Verison,코케,0.451,0.518,2,-12.92,1,0.0325,0.0206,0.581,94.987,225210,4
27,마음으로 하는 말 : Originally Performed By 프리스타일 Karaoke Verison,코케,0.541,0.374,11,-13.359,1,0.0631,0.736,0.559,200.022,254408,4
28,부른다 (Calling You) [In the Style of Seo In Guk] - Karaoke,Groove Edition,0.823,0.569,1,-7.338,1,0.0748,0.186,0.612,84.006,202919,4
