,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,I Know - Club Mix,Seo Taiji and Boys,0.698,0.738,10,-6.553,0,0.0546,0.124,0.681,109.705,227667,4
1,City People,N.EX.T,0.65,0.597,7,-15.466,1,0.0457,0.00134,0.91,124.834,269456,4
2,Very longtime Lovers,015B,0.697,0.691,1,-14.158,1,0.039,0.0175,0.579,112.277,253992,4
3,희망사항,Byun Jin-Sub,0.455,0.924,0,-4.586,1,0.066,0.569,0.359,128.21,283080,4
4,달의 몰락,Kim Hyun Chul,0.699,0.668,6,-6.936,0,0.034,0.00181,0.856,109.937,254955,4
5,난 행복해,Lee So Ra,0.467,0.237,5,-13.355,1,0.0326,0.501,0.135,129.808,266371,4
6,텅 빈 마음 Empty Heart,LEE SEUNG HWAN,0.547,0.304,11,-14.326,0,0.0336,0.429,0.157,74.164,249893,4
7,Speed,Kim Gun Mo,0.807,0.975,9,-4.023,0,0.0949,0.345,0.963,139.992,226267,4
8,이별의 그늘,Yoon Sang,0.581,0.585,2,-5.209,0,0.0245,0.356,0.267,129.894,269923,4
9,Reflection of You in Your Smile,Shin Seung Hun,0.568,0.28,11,-14.951,1,0.0293,0.769,0.22,130.741,289467,4
10,말달리자 Speed Up Losers,Crying Nut,0.423,0.839,2,-6.652,1,0.102,0.00147,0.566,117.59,186000,4
11,달팽이,PANIC,0.494,0.359,6,-10.907,1,0.0282,0.57,0.165,97.953,292389,4
12,Dreams Come True,S.E.S.,0.706,0.835,0,-4.357,1,0.0506,0.0813,0.771,93.943,245773,4
13,Full of happiness,H.O.T.,0.768,0.937,11,-5.637,0,0.0523,0.0111,0.77,133.046,211373,4
14,DOC와 춤을… Dance with DOC,DJ DOC,0.753,0.964,2,-3.384,1,0.032,0.102,0.981,135.003,192840,4
15,Kung Ddari Sha Bah Rah,Clon,0.796,0.988,4,-2.846,1,0.0663,0.189,0.887,138.87,234093,4
16,Excuses,Kim Gun Mo,0.797,0.5,7,-8.707,1,0.0318,0.0309,0.549,91.988,219173,4
17,날 떠나지마 Please Don't Leave Me,JYP Nation,0.539,0.668,0,-6.362,1,0.0432,0.488,0.314,116.967,313160,4
18,대답 없는 너 : Originally Performed By 김종서 Karaoke Verison,코케,0.555,0.294,5,-13.346,0,0.0313,0.198,0.134,132.03,253087,4
19,Poison : Originally Performed By 엄정화 Karaoke Verison,코케,0.582,0.723,6,-14.018,1,0.0345,0.207,0.966,139.97,204340,4
