station,is_station,lat,lon
't harde,1,52.4091514,5.8926641
acht,1,51.4817688,5.4422318
almelo,1,52.3575366,6.6557903
almere centrum,1,52.3752735,5.2193265
almere oostvaarders,1,52.4032804,5.3006021
amersfoort aansluiting,0,52.15298,5.36237
amersfoort schothorst,1,52.1748604,5.4038593
amersfoort vathorst,1,52.1925513,5.4336126
amersfoort,1,52.153898,5.3740976
amsterdam bijlmer,1,52.3122449,4.9470883
amsterdam centraal,1,52.3783344,4.900322345175953
amsterdam muiderpoort,1,52.3608341,4.9311934
amsterdam riekerpolder aansluiting,0,52.33844,4.82615
amsterdam riekerpolder,0,52.33844,4.82615
amsterdam sloterdijk,1,52.3890161,4.838877
amsterdam zuid,1,52.3377124,4.8893261
apeldoorn,1,52.2092784,5.9689735
arnhem,1,51.9844332,5.9011598
barendrecht aansluiting,0,51.8453,4.5717
barneveld aansluiting,0,52.16216,5.59505
barneveld,1,52.1409575,5.5892123
beatrixhaven aansluiting,0,50.87469,5.72355
bergen op zoom,1,51.4961191,4.2960429
binckhorst,0,52.07375,4.34163
blauwkapel,0,52.11327,5.14056
blerick,1,51.3716295,6.1536552
boxmeer,1,51.644139550000006,5.939891371868031
boxtel,1,51.5851962,5.3192504
breda aansluiting,0,51.60801,4.72047
breda,1,51.5951433,4.7800231
breukelen,1,52.1700806,4.9913057
crailoo,0,52.25469,5.16888
de haar aansluiting,0,52.05142,5.47498
delden,1,52.2602968,6.7145935
delft,1,52.0073979,4.3581707
den dolder,1,52.1387147,5.2435013
den haag centraal,1,52.0808443,4.3245487
den haag hs,1,52.0701372,4.3222758
den haag laan van noi,1,52.0789705,4.3432643
den haag ypenburg,1,52.0558168,4.390848
deurne,1,51.4564167,5.7876469
deventer,1,52.2572928,6.1611049
dordrecht,1,51.8036723,4.7179212
driebergen/zeist,1,52.0652455,5.2602392
duivendrecht aansluiting west,0,52.32188,4.92937
ede/wageningen,1,52.0285471,5.6719692
eijsden grens,0,50.7591,5.7064
eindhoven,1,51.4429623,5.4795265
elst,1,51.9171924,5.8541559
erasmusgracht aansluiting,0,52.37752,4.8387
gaasperdammerweg aansluiting,0,52.334,4.9968
gekkengraaf,0,51.4075,6.0834
geldermalsen aansluiting,0,51.89371,5.26861
geldermalsen,1,51.8814722,5.270693447647334
geleen lutterade dsm aansluiting,0,50.97587,5.8253
goor,1,52.2305137,6.5854423
gouda goverwelle,1,52.0150128,4.7420993
gouda,1,52.0167994,4.7071483
groningen europapark,1,53.2047056,6.585821
groningen,1,53.2109237,6.5641028
haanrade grens,0,50.88077,6.0854799999999996
haanrade,0,50.88689,6.07521
harderwijk,1,52.3380584,5.6213496
harmelen aansluiting,0,52.1046,4.9586
hattemerbroek aansluiting,0,52.48788,6.05498
heerlen,1,50.8894668,5.974596
hemtunnel aansluiting,0,52.4464,4.812
hengelo,1,52.2621518,6.793694243421051
herfte aansluiting,0,52.50642,6.14142
hilversum,1,52.225082,5.180912
hoofddorp,1,52.3009075,4.6641356
hoogeveen,1,52.7331853,6.4732362
keverdijk aansluiting,0,52.30435,5.0673
kijfhoek,0,51.8324,4.5964
lage zwaluwe,1,51.6901564,4.6637116
landgraaf,1,50.9121607,6.0368592
leiden centraal,1,52.1663091,4.4837223
