Jaar,Bevolking,Land
1900,6693546,België
1901,6766569,België
1902,6839592,België
1903,6912614,België
1904,6985637,België
1905,7058660,België
1906,7131683,België
1907,7204706,België
1908,7277728,België
1909,7350751,België
1910,7423774,België
1911,7421954,België
1912,7420133,België
1913,7418313,België
1914,7416492,België
1915,7414672,België
1916,7412852,België
1917,7411031,België
1918,7409211,België
1919,7407390,België
1920,7405570,België
1921,7474213,België
1922,7542855,België
1923,7611498,België
1924,7680141,België
1925,7748784,België
1926,7817426,België
1927,7886069,België
1928,7954712,België
1929,8023354,België
1930,8091997,België
1931,8116682,België
1932,8141367,België
1933,8166053,België
1934,8190738,België
1935,8215423,België
1936,8240108,België
1937,8264793,België
1938,8289478,België
1939,8314164,België
1940,8338849,België
1941,8363534,België
1942,8388219,België
1943,8412904,België
1944,8437589,België
1945,8462275,België
1946,8486960,België
1947,8511645,België
1948,8560080,België
1949,8608515,België
1950,8656950,België
1951,8705386,België
1952,8753821,België
1953,8802256,België
1954,8850691,België
1955,8899126,België
1956,8947561,België
1957,8995996,België
1958,9044432,België
1959,9092867,België
1960,9141302,België
1961,9189737,België
1962,9240982,België
1963,9292227,België
1964,9343473,België
1965,9394718,België
1966,9445963,België
1967,9497208,België
1968,9548454,België
1969,9599699,België
1970,9650944,België
1971,9674253,België
1972,9697561,België
1973,9720870,België
1974,9744179,België
1975,9767487,België
1976,9790796,België
1977,9814104,België
1978,9837413,België
1979,9841654,België
1980,9855110,België
1981,9863374,België
1982,9854589,België
1983,9858017,België
1984,9853023,België
1985,9857721,België
1986,9858895,België
1987,9864751,België
1988,9875716,België
1989,9927612,België
1990,9947782,België
1991,9986975,België
1992,10021997,België
1993,10068319,België
1994,10100631,België
1995,10130574,België
1996,10143047,België
1997,10170226,België
1998,10192264,België
1999,10213752,België
2000,10239085,België
2001,10263414,België
2002,10309725,België
2003,10355844,België
2004,10396421,België
2005,10445852,België
2006,10511382,België
2007,10584534,België
2008,10666866,België
2009,10753080,België
2010,10839905,België
2011,10951266,België
2012,11035948,België
2013,11099554,België
2014,11150516,België
2015,11209044,België
2016,11267910,België
2017,11322088,België
2018,11376070,België
2019,11431406,België
2020,11492641,België
1900,5100000,Nederland
1901,5160000,Nederland
1902,5230000,Nederland
1903,5310000,Nederland
1904,5380000,Nederland
1905,5460000,Nederland
1906,5540000,Nederland
1907,5620000,Nederland
1908,5700000,Nederland
1909,5770000,Nederland
1910,5860000,Nederland
1911,5950000,Nederland
1912,6030000,Nederland
1913,6130000,Nederland
1914,6240000,Nederland
1915,6340000,Nederland
1916,6430000,Nederland
1917,6530000,Nederland
1918,6620000,Nederland
1919,6680000,Nederland
1920,6750000,Nederland
1921,6870000,Nederland
1922,6980000,Nederland
1923,7080000,Nederland
1924,7200000,Nederland
1925,7310000,Nederland
1926,7420000,Nederland
1927,7520000,Nederland
1928,7620000,Nederland
1929,7730000,Nederland
1930,7830000,Nederland
1931,7940000,Nederland
1932,8060000.000000001,Nederland
1933,8180000,Nederland
1934,8289999.999999999,Nederland
1935,8390000,Nederland
1936,8480000,Nederland
1937,8560000,Nederland
1938,8640000,Nederland
1939,8730000,Nederland
1940,8830000,Nederland
1941,8920000,Nederland
1942,9010000,Nederland
1943,9080000,Nederland
1944,9130000,Nederland
1945,9220000,Nederland
1946,9300000,Nederland
1947,9540000,Nederland
1948,9720000,Nederland
1949,9880000,Nederland
1950,10030000,Nederland
1951,10200000,Nederland
1952,10330000,Nederland
1953,10440000,Nederland
1954,10550000,Nederland
1955,10680000,Nederland
1956,10820000,Nederland
1957,10960000,Nederland
1958,11100000,Nederland
1959,11280000,Nederland
1960,11420000,Nederland
1961,11560000,Nederland
1962,11720000,Nederland
1963,11890000,Nederland
1964,12040000,Nederland
1965,12210000,Nederland
1966,12380000,Nederland
1967,12540000,Nederland
1968,12660000,Nederland
1969,12800000,Nederland
1970,12960000,Nederland
1971,13120000,Nederland
1972,13270000,Nederland
1973,13390000,Nederland
1974,13490000,Nederland
1975,13600000,Nederland
1976,13730000,Nederland
1977,13810000,Nederland
1978,13900000,Nederland
1979,13990000,Nederland
1980,14090000,Nederland
1981,14210000,Nederland
1982,14290000,Nederland
1983,14340000,Nederland
1984,14400000,Nederland
1985,14450000,Nederland
1986,14530000,Nederland
1987,14620000,Nederland
1988,14720000,Nederland
1989,14810000,Nederland
1990,14890000,Nederland
1991,15010000,Nederland
1992,15130000,Nederland
1993,15240000,Nederland
1994,15340000,Nederland
1995,15420000,Nederland
1996,15490000,Nederland
1997,15570000,Nederland
1998,15650000,Nederland
1999,15760000,Nederland
2000,15860000,Nederland
2001,15990000,Nederland
2002,16110000,Nederland
2003,16190000.000000002,Nederland
2004,16260000.000000002,Nederland
2005,16309999.999999998,Nederland
2006,16329999.999999998,Nederland
2007,16360000,Nederland
2008,16410000,Nederland
2009,16489999.999999998,Nederland
2010,16570000,Nederland
2011,16660000,Nederland
2012,16730000,Nederland
2013,16780000,Nederland
2014,16830000,Nederland
2015,16900000,Nederland
2016,16980000,Nederland
2017,17080000,Nederland
2018,17180000,Nederland
2019,17280000,Nederland
2020,17410000,Nederland
