Year/Study	Jurisdiction	Average	Standard Error						
2022	Australia	498	(2,0)						
	Austria	480	(2,7)						
	Belgium	479	(2,5)						
	Canada	507	(2,0)						
	Chile	448	(2,6)						
	Colombia	409	(3,8)						
	Costa Rica	415	(2,7)						
	Czech Republic	489	(2,2)						
	Denmark	489	(2,6)						
	Estonia	511	(2,4)						
	Finland	490	(2,3)						
	France	474	(3,1)						
	Germany	480	(3,6)						
	Greece	438	(2,8)						
	Hungary	473	(2,8)						
	Iceland	436	(2,1)						
	Ireland	516	(2,3)						
	Israel	474	(3,5)						
	Italy	482	(2,7)						
	Japan	516	(3,2)						
	Korea	515	(3,6)						
	Latvia	475	(2,5)						
	Lithuania	472	(2,2)						
	Luxembourg	.	†						
	Mexico	415	(2,9)						
	Netherlands	459	(4,3)						
	New Zealand	501	(2,1)						
	Norway	477	(2,5)						
	Poland	489	(2,7)						
	Portugal	477	(2,7)						
	Slovak Republic	447	(3,1)						
	Slovenia	469	(1,6)						
	Spain	474	(1,7)						
	Sweden	487	(2,5)						
	Switzerland	483	(2,3)						
	Turkiye	456	(1,9)						
	United Kingdom	494	(2,4)						
	United States	504	(4,3)						
2018	Australia	503	(1,6)						
	Austria	484	(2,7)						
	Belgium	493	(2,3)						
	Canada	520	(1,8)						
	Chile	452	(2,6)						
	Colombia	412	(3,3)						
	Costa Rica	426	(3,4)						
	Czech Republic	490	(2,5)						
	Denmark	501	(1,8)						
	Estonia	523	(1,8)						
	Finland	520	(2,3)						
	France	493	(2,3)						
	Germany	498	(3,0)						
	Greece	457	(3,6)						
	Hungary	476	(2,3)						
	Iceland	474	(1,7)						
	Ireland	518	(2,2)						
	Israel	470	(3,7)						
	Italy	476	(2,4)						
	Japan	504	(2,7)						
	Korea	514	(2,9)						
	Latvia	479	(1,6)						
	Lithuania	476	(1,5)						
	Luxembourg	470	(1,1)						
	Mexico	420	(2,7)						
	Netherlands	485	(2,7)						
	New Zealand	506	(2,0)						
	Norway	499	(2,2)						
	Poland	512	(2,7)						
	Portugal	492	(2,4)						
	Slovak Republic	458	(2,2)						
	Slovenia	495	(1,2)						
	Spain	.	†						
	Sweden	506	(3,0)						
	Switzerland	484	(3,1)						
	Turkiye	466	(2,2)						
	United Kingdom	504	(2,6)						
	United States	505	(3,6)						
2015	Australia	503	(1,7)						
