"ref_area.label","indicator.label","source.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","Informal employment rate by sex (%)","LFS - Labour Force Survey","Sex: Total","2021",86.431,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","Informal employment rate by sex (%)","LFS - Labour Force Survey","Sex: Male","2021",83.038,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","Informal employment rate by sex (%)","LFS - Labour Force Survey","Sex: Female","2021",97.299,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Total","2021",90.254,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Male","2021",84.799,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Female","2021",95.504,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Total","2019",88.195,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Male","2019",82.181,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","LFS - Employment Survey","Sex: Female","2019",94.03,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Total","2011",84.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Male","2011",77.162,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Female","2011",91.334,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Total","2004",79.162,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Male","2004",70.479,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","Informal employment rate by sex (%)","HIES - Core Welfare Indicators Questionnaire","Sex: Female","2004",89.021,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2022",51.196,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2022",51.439,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2022",50.885,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2021",49.143,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2021",49.251,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2021",48.999,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2020",46.981,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2020",47.576,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2020",46.216,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2019",49.918,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2019",50.065,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2019",49.726,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2018",48.73,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2018",48.455,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2018",49.086,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2017",48.563,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2017",49.118,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2017",47.817,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2014",47.2,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2014",47.519,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2014",46.754,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2013",47.764,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2013",48.29,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2013",47.024,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2012",48.166,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2012",47.994,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Female","2012",48.408,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Total","2011",48.083,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","Informal employment rate by sex (%)","LFS - Permanent Household Survey, Urban","Sex: Male","2011",47.496,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
