id,value
A,
A.A01,53163
A.A02,2264000
A.A03,377890
A.A04,108110
A.A05,16023
A.A06,1511000
A.A07,208060
A.A09,19778
A.A10,844010
A.A11,986170
A.A12,582070
A.A14,86
A.A16,2966
B.B01,1888000
B.B02,49456
B.B03,587600
B.B05,44911
B.B06,206
C.C01,431450
C.C02,56315
C.C03,1075000
C.C04,1181
C.C05,53696
C.C07,1541000
C.C08,1081000
C.C09,2038000
C.C10,2000000
D.D01,754540
D.D02,1064000
D.D03,1352
D.D05,674960
D.D06,674960
D.D07,1750000
D.D08,1336
D.D10,181720
D.D11,141340
G.G01,189590
G.G02,24483
G.G03,586820
G.G04,468900
H.H01,22553
H.H02,788020
H.H03,535330
H.H04,24822
H.H05,8512
J.J01,2758000
J.J02,141260
J.J04,7819
J.J05,114190
J.J06,10149
J.J07,154730
L.L01,91488
L.L02,97676
L.L03,13958
L.L04,164970
M.M01,1979000
M.M03,27279
M.M04,208790
M.M05,219840
M.M09,1
N.N01,205280
N.N02,1198000
N.N03,359270
N.N04,93353,
N.N05,705570
N.N06,1297000
N.N07,104210
P.P01,145280
P.P02,10657
P.P03,45998
R.R01,1369000
R.R03,1429000
R.R05,389030
R.R06,1343000
R.R07,856
S.S01,1652000
S.S02,450050
V.V01,19757
V.V02,15942
V.V03,680
V.V04,5892
